date_hour,fixing,fixing_1_volume,hour,date,Krajowe zapotrzebowanie na moc,Suma zdolności wytwórczych JWCD,Suma zdolności wytwórczych nJWCD,Generacja JWCD,Generacja nJWCD,Generacja źródeł wiatrowych,Wymagana rezerwa mocy ponad zapotrzebowanie,fixing_minus_1d,fixing_minus_2d,fixing_minus_3d,fixing_minus_4d,fixing_minus_5d,fixing_minus_6d,fixing_minus_7d,fixing_1_volume_minus_1d
2018-01-01 00:00:00,117.0,2140.9,0,2018-01-01,15175,22312,9327,6835,8340,3157,1368,98.0,121.03,121.22,125.6,113.52,102.0,70.5,2078.1
2018-01-01 01:00:00,113.59,2255.8,1,2018-01-01,14600,22312,9272,6315,8285,3107,1316,82.0,121.03,120.0,120.42,113.0,85.36,70.03,2253.9
2018-01-01 02:00:00,97.0,2516.5,2,2018-01-01,14025,22312,9263,5749,8276,3103,1264,76.14,121.03,119.6,116.3,105.0,80.0,70.03,2174.1
2018-01-01 03:00:00,89.0,2512.1,3,2018-01-01,13625,22312,9296,5316,8309,3136,1228,74.7,121.03,119.6,116.3,111.39,79.65,70.03,2079.9
2018-01-01 04:00:00,75.0,2512.4,4,2018-01-01,13400,22312,9402,4985,8415,3242,1208,73.78,121.03,121.22,119.2,117.54,77.23,70.03,2073.2
2018-01-01 05:00:00,75.0,2529.2,5,2018-01-01,13225,22312,9524,4693,8532,3373,1192,76.15,121.03,121.22,120.42,120.42,79.93,70.03,2291.6
2018-01-01 06:00:00,80.0,2510.8,6,2018-01-01,13275,21942,9626,4641,8634,3472,1197,80.0,121.03,137.6,139.6,142.0,81.5,70.03,2210.1
2018-01-01 07:00:00,75.71,2314.2,7,2018-01-01,13250,21942,9653,4589,8661,3488,1195,110.0,119.54,148.44,153.08,148.01,80.6,70.2,2081.8
2018-01-01 08:00:00,76.62,2272.5,8,2018-01-01,13250,21942,9693,4559,8691,3507,1195,116.99,121.03,154.34,160.56,160.35,87.0,72.0,1766.4
2018-01-01 09:00:00,100.0,2305.7,9,2018-01-01,13775,21942,9761,5015,8760,3542,1242,118.7,137.2,155.0,171.34,166.93,113.05,88.78,1591.2
